Time,Trader,Status,Side,Executed Shares,Symbol,Price,Order Dest,ClearingAccount
08:59:00.862-20200221,MTGEQ,Fill,Buy,200,OCSL,5.33,NYINET5,CRON048
08:59:00.765-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:59:00.760-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:59:00.760-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:59:00.760-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:59:00.760-20200221,MTGEQ,Part/Open,Buy,300,OCSL,5.33,NYINET5,CRON048
08:59:00.759-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.33,NYINET5,CRON048
08:59:00.667-20200221,MTGEQ,Fill,Buy,300,OCSL,5.33,NYINET5,CRON048
08:59:00.667-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:59:00.664-20200221,MTGEQ,Fill,Buy,200,OCSL,5.33,NYINET5,CRON048
08:59:00.663-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.33,NYINET5,CRON048
08:59:00.663-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,2,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,300,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,300,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,200,OCSL,5.33,NYINET5,CRON048
08:51:21.131-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.325,NYINET5,CRON048
08:50:43.825-20200221,MTGEQ,Fill,Buy,800,OCSL,5.32,NYINET5,CRON048
08:48:59.645-20200221,MTGEQ,Fill,Buy,600,OCSL,5.32,NYINET5,CRON048
08:48:59.645-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.315,NYINET5,CRON048
08:48:59.645-20200221,MTGEQ,Part/Open,Buy,100,OCSL,5.315,NYINET5,CRON048
